"","ListingKey","Term","LoanOriginationDate","LoanOriginalAmount","MonthlyLoanPayment","ProsperScore","ProsperRisk","LoanOriginalAmount_bins"
"9","0F043596202561788EA13D5","36",2013-12-12,10000,305.54,9,"Score >= 9","5K-9.9K"
"10","0F043596202561788EA13D5","36",2013-12-12,10000,305.54,11,"Score >= 9","5K-9.9K"
"39","109A35861259973172F6548","36",2013-08-22,7000,218.03,9,"Score >= 9","5K-9.9K"
"175","34E13569083162821956F5F","36",2013-01-24,3600,113.88,10,"Score >= 9","0K-4.9K"
"237","11D335932344051959C94C6","36",2013-11-08,9000,274,11,"Score >= 9","5K-9.9K"
"341","00D435855820315011A3633","36",2013-08-13,7000,220.94,10,"Score >= 9","5K-9.9K"
"366","00D435912306936173395D7","36",2013-10-23,9000,282.82,10,"Score >= 9","5K-9.9K"
"447","09E03595831427966EE4111","36",2013-12-12,15000,486.76,9,"Score >= 9","10K-14.9K"
"475","013E3570006582421416CAD","36",2013-02-08,6000,187.99,10,"Score >= 9","5K-9.9K"
"510","090635932520782700637A9","36",2013-11-19,13000,422.53,10,"Score >= 9","10K-14.9K"
"579","3C203595510064820A17C28","36",2013-12-11,2000,66.8,9,"Score >= 9","0K-4.9K"
"607","3C6C357164641405815A03A","36",2013-03-11,5000,157.81,10,"Score >= 9","0K-4.9K"
"643","3C7035759111193830D688B","36",2013-04-29,11000,339.6,10,"Score >= 9","10K-14.9K"
"654","00E83577552293068E85705","60",2013-06-18,15000,455.52,2,"1 <= Score <= 2","10K-14.9K"
"677","462935877003282892DD443","36",2013-09-10,15000,467.21,9,"Score >= 9","10K-14.9K"
"771","3D6035919831193329B2613","36",2013-10-30,15000,480.42,9,"Score >= 9","10K-14.9K"
"878","3DCB3567405478720A365B0","36",2013-01-29,13000,421.55,9,"Score >= 9","10K-14.9K"
"1004","2E17358795283998052DC39","36",2013-09-18,4000,130.94,10,"Score >= 9","0K-4.9K"
"1069","35A43586339373116BA3266","36",2013-10-04,15000,491.01,9,"Score >= 9","10K-14.9K"
"1113","48913569931338738CE69E6","60",2013-02-05,12000,345.08,2,"1 <= Score <= 2","10K-14.9K"
"1154","42E13597205647526F425AD","36",2013-12-27,8000,249.55,11,"Score >= 9","5K-9.9K"
"1284","44D2356746114576030D964","60",2013-01-23,4000,126.85,2,"1 <= Score <= 2","0K-4.9K"
"1297","021F3593082999771F5E621","36",2013-12-18,10000,322.2,9,"Score >= 9","5K-9.9K"
"1399","307935933606550109E1BE9","36",2013-11-15,15000,474.83,9,"Score >= 9","10K-14.9K"
"1428","7B473573066296139D91D23","36",2013-03-18,15000,482.18,9,"Score >= 9","10K-14.9K"
"1434","6E7035968633142000D49A0","60",2013-12-12,9000,238.95,2,"1 <= Score <= 2","5K-9.9K"
"1458","0AEC3584463811098F37035","36",2013-08-12,6500,246.86,9,"Score >= 9","5K-9.9K"
"1461","0B183592852839153D6FDB8","36",2013-11-13,8000,261.87,11,"Score >= 9","5K-9.9K"
"1470","43E835955033665686E25D3","36",2013-12-11,5000,165.81,10,"Score >= 9","0K-4.9K"
"1700","0AF035943343253554DAA58","36",2013-12-06,12000,374.32,10,"Score >= 9","10K-14.9K"
"1734","478E3586125176287057D03","60",2013-08-16,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"1892","8ACF3593380844846ADD349","36",2013-11-07,4000,126.62,9,"Score >= 9","0K-4.9K"
"1913","66113575743707524D58782","60",2013-04-17,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"1957","8B3C3593292977255E53992","60",2013-11-05,4000,123.8,2,"1 <= Score <= 2","0K-4.9K"
