"","LoanOriginalAmount_bins","ProsperRisk","Term","monthlypayment_mean","count_loan","Term_num"
"1","0K-4.9K","1 <= Score <= 2","12",323.974390243902,41,1
"2","0K-4.9K","1 <= Score <= 2","36",152.738518518519,2349,2
"3","0K-4.9K","1 <= Score <= 2","60",120.917564870259,501,3
"4","0K-4.9K","3 <= Score <= 5","12",279.995441176471,68,1
"5","0K-4.9K","3 <= Score <= 5","36",141.834317091644,3961,2
"6","0K-4.9K","3 <= Score <= 5","60",112.117633587786,1048,3
"7","0K-4.9K","6 <= Score <= 8","12",266.179230769231,39,1
"8","0K-4.9K","6 <= Score <= 8","36",128.133340026774,1494,2
"9","0K-4.9K","6 <= Score <= 8","60",100.300670859539,477,3
"10","0K-4.9K","Score >= 9","12",191.066666666667,12,1
"11","0K-4.9K","Score >= 9","36",115.125642994242,521,2
"12","0K-4.9K","Score >= 9","60",91.6020588235294,102,3
"13","5K-9.9K","1 <= Score <= 2","12",729.113333333333,3,1
"14","5K-9.9K","1 <= Score <= 2","36",344.547229299363,314,2
"15","5K-9.9K","1 <= Score <= 2","60",262.138162162162,185,3
"16","5K-9.9K","3 <= Score <= 5","12",766.897391304348,23,1
"17","5K-9.9K","3 <= Score <= 5","36",327.074388513513,2960,2
"18","5K-9.9K","3 <= Score <= 5","60",251.326855400697,2296,3
"19","5K-9.9K","6 <= Score <= 8","12",714.229090909091,33,1
"20","5K-9.9K","6 <= Score <= 8","36",295.043625992063,2016,2
"21","5K-9.9K","6 <= Score <= 8","60",224.623268156425,1432,3
"22","5K-9.9K","Score >= 9","12",741.598,5,1
"23","5K-9.9K","Score >= 9","36",274.768064971751,708,2
"24","5K-9.9K","Score >= 9","60",199.501474926254,339,3
"25","10K-14.9K","1 <= Score <= 2","12",1384.64,1,1
"26","10K-14.9K","1 <= Score <= 2","36",542.090098039216,102,2
"27","10K-14.9K","1 <= Score <= 2","60",397.408904109589,73,3
"28","10K-14.9K","3 <= Score <= 5","12",1328.11454545455,11,1
"29","10K-14.9K","3 <= Score <= 5","36",518.410475917431,1744,2
"30","10K-14.9K","3 <= Score <= 5","60",378.073373772386,1731,3
"31","10K-14.9K","6 <= Score <= 8","12",1258.044,15,1
"32","10K-14.9K","6 <= Score <= 8","36",478.036775384615,1625,2
"33","10K-14.9K","6 <= Score <= 8","60",348.603849669883,1969,3
"34","10K-14.9K","Score >= 9","12",1145.152,5,1
"35","10K-14.9K","Score >= 9","36",445.373271692745,703,2
"36","10K-14.9K","Score >= 9","60",319.358561278863,563,3
"37","15K-19.9K","1 <= Score <= 2","60",523.5,2,3
"38","15K-19.9K","3 <= Score <= 5","12",1774.875,2,1
"39","15K-19.9K","3 <= Score <= 5","36",685.541580882353,272,2
"40","15K-19.9K","3 <= Score <= 5","60",493.799928057554,278,3
"41","15K-19.9K","6 <= Score <= 8","12",1773.425,2,1
"42","15K-19.9K","6 <= Score <= 8","36",647.964054054054,555,2
"43","15K-19.9K","6 <= Score <= 8","60",464.662532942899,683,3
"44","15K-19.9K","Score >= 9","12",1626.02428571429,7,1
"45","15K-19.9K","Score >= 9","36",608.843355704698,447,2
"46","15K-19.9K","Score >= 9","60",426.118936170213,282,3
"47","20K-24.9K","1 <= Score <= 2","36",903.86875,8,2
"48","20K-24.9K","1 <= Score <= 2","60",634.25,2,3
"49","20K-24.9K","3 <= Score <= 5","12",2251.51,1,1
"50","20K-24.9K","3 <= Score <= 5","36",882.507789473684,190,2
"51","20K-24.9K","3 <= Score <= 5","60",640.08890625,256,3
"52","20K-24.9K","6 <= Score <= 8","12",2171.425,2,1
"53","20K-24.9K","6 <= Score <= 8","36",848.0175,364,2
"54","20K-24.9K","6 <= Score <= 8","60",604.123371335505,614,3
"55","20K-24.9K","Score >= 9","12",1981.11,2,1
"56","20K-24.9K","Score >= 9","36",803.800318471338,157,2
"57","20K-24.9K","Score >= 9","60",564.396064516129,310,3
"58","25K-29.9K","3 <= Score <= 5","36",1025.33,1,2
"59","25K-29.9K","6 <= Score <= 8","36",982.353714285714,35,2
"60","25K-29.9K","6 <= Score <= 8","60",693.934615384615,13,3
"61","25K-29.9K","Score >= 9","36",952.263913043478,23,2
"62","25K-29.9K","Score >= 9","60",658.7415,40,3
"63","30K-35k","3 <= Score <= 5","36",1195.56888888889,9,2
"64","30K-35k","3 <= Score <= 5","60",892.39,1,3
"65","30K-35k","6 <= Score <= 8","36",1176.1204109589,73,2
"66","30K-35k","6 <= Score <= 8","60",823.47975,80,3
"67","30K-35k","Score >= 9","36",1140.2804,75,2
"68","30K-35k","Score >= 9","60",795.904333333333,90,3
"69","25K-29.9K","1 <= Score <= 2","12",0,0,1
"70","30K-35k","1 <= Score <= 2","12",0,0,1
"71","25K-29.9K","3 <= Score <= 5","12",0,0,1
"72","25K-29.9K","6 <= Score <= 8","12",0,0,1
"73","25K-29.9K","Score >= 9","12",0,0,1
"74","30K-35k","3 <= Score <= 5","12",0,0,1
"75","30K-35k","6 <= Score <= 8","12",0,0,1
"76","30K-35k","Score >= 9","12",0,0,1
