"","ListingKey","Term","LoanOriginationDate","LoanOriginalAmount","MonthlyLoanPayment","ProsperScore","ProsperRisk"
"5","0F023589499656230C5E3E2","36",2013-09-20,15000,563.97,4,"3 <= Score <= 5"
"6","0F05359734824199381F61D","60",2013-12-24,15000,342.37,10,"Score >= 9"
"7","0F0A3576754255009D63151","36",2013-04-18,3000,122.67,2,"1 <= Score <= 2"
"8","0F1035772717087366F9EA7","36",2013-05-13,10000,372.6,4,"3 <= Score <= 5"
"9","0F043596202561788EA13D5","36",2013-12-12,10000,305.54,9,"Score >= 9"
"10","0F043596202561788EA13D5","36",2013-12-12,10000,305.54,11,"Score >= 9"
"14","0F1C3583260311305D68F87","36",2013-07-18,8500,275.63,8,"6 <= Score <= 8"
"15","0F353575943675863D1AFC0","60",2013-05-13,19330,415.37,8,"6 <= Score <= 8"
"17","0F4835843081468212F0892","60",2013-07-18,4000,124.76,4,"3 <= Score <= 5"
"19","0FF2357105361877390B58D","36",2013-03-11,15000,482.18,7,"6 <= Score <= 8"
"20","0FFC35866018516621B0D3F","60",2013-10-10,6500,180.45,8,"6 <= Score <= 8"
"21","101635959323992333B3C70","36",2013-11-29,14000,472.66,7,"6 <= Score <= 8"
"23","101735700321773921526BF","36",2013-02-05,4000,172.76,2,"1 <= Score <= 2"
"24","101B35764008108187B2EBA","36",2013-04-26,2000,78.67,5,"3 <= Score <= 5"
"25","101B3596709094692AC79C0","36",2013-12-18,4000,141.02,5,"3 <= Score <= 5"
"26","10223590888942486E3826E","36",2013-10-10,4000,161.78,3,"3 <= Score <= 5"
"27","0F4F3571508214190FD75CB","60",2013-02-21,4000,124.76,3,"3 <= Score <= 5"
"29","0F53359346357513247D86B","36",2013-11-13,10000,354.54,4,"3 <= Score <= 5"
"37","1092359520343159157D1AC","36",2013-12-11,10000,416.34,2,"1 <= Score <= 2"
"38","10993590382481129382160","36",2013-09-30,5000,197.98,6,"6 <= Score <= 8"
"39","109A35861259973172F6548","36",2013-08-22,7000,218.03,9,"Score >= 9"
"44","10B93591610781064F9C46B","36",2013-10-10,5000,179.76,6,"6 <= Score <= 8"
"45","0F823581900037042AC6A5E","36",2013-06-27,16000,573.15,5,"3 <= Score <= 5"
"46","0F843574249889932A8662E","60",2013-04-10,25000,543.44,7,"6 <= Score <= 8"
"48","0F8B3577039176552F6CC26","36",2013-05-13,15000,505.34,8,"6 <= Score <= 8"
"49","0F923587782964897A58B1B","60",2013-08-28,15000,358.35,6,"6 <= Score <= 8"
"50","0F9D3585166658459B9AC30","60",2013-08-21,25000,524.92,10,"Score >= 9"
"51","0FA035965589061761C3D7A","60",2013-12-19,10000,273.35,5,"3 <= Score <= 5"
"53","0FAA357428986754861A3E6","36",2013-03-27,7000,230.93,6,"6 <= Score <= 8"
"54","0FA3356960850383539D362","36",2013-02-05,3000,122.67,4,"3 <= Score <= 5"
"56","0FC13592826344497AFB874","36",2013-11-01,10000,341.73,7,"6 <= Score <= 8"
"57","0FD235896044348280704B9","36",2013-09-19,15000,547.57,4,"3 <= Score <= 5"
"59","0FF735841515827770331DF","60",2013-07-24,8000,191.12,6,"6 <= Score <= 8"
"61","101735933549003126EF74E","60",2013-11-07,25000,620.64,7,"6 <= Score <= 8"
"62","10223596029543318E1A9FB","36",2013-12-09,2000,67.14,8,"6 <= Score <= 8"
"65","0F1B35892502944590155D8","36",2013-10-09,5000,204.1,4,"3 <= Score <= 5"
"71","0F3835813277303416C07A2","36",2013-07-03,10000,374.14,6,"6 <= Score <= 8"
"74","0DE83585214289256D08313","36",2013-07-19,4000,154.26,3,"3 <= Score <= 5"
"76","0DF535815829610812D7705","36",2013-07-01,4000,166.73,2,"1 <= Score <= 2"
"80","0E193575764412056DAE671","36",2013-04-18,22500,841.81,5,"3 <= Score <= 5"
"83","10623584773904550935540","36",2013-07-19,4000,168.32,2,"1 <= Score <= 2"
"85","106735874092648468C4A6E","60",2013-09-04,20000,528.1,5,"3 <= Score <= 5"
"100","0F663588983215130695EB3","60",2013-09-19,10000,206.08,10,"Score >= 9"
"101","0F67356860455769574096F","36",2013-01-30,4000,172.76,3,"3 <= Score <= 5"
"105","0F8435958508525579E0C8D","36",2013-12-16,15000,528.84,5,"3 <= Score <= 5"
"116","10E63597067945844E559D0","60",2013-12-06,2000,52.65,6,"6 <= Score <= 8"
"117","0F4935925465944189E3E7C","60",2013-10-25,15000,377.64,6,"6 <= Score <= 8"
"120","0F5235969768792992BD77F","36",2013-12-05,15000,545.3,4,"3 <= Score <= 5"
"125","10DF35877947474891E2343","60",2013-08-27,15000,378.38,6,"6 <= Score <= 8"
"130","111335777080426187DABBE","36",2013-05-10,10000,393.33,2,"1 <= Score <= 2"
"131","111835892846741953F498C","60",2013-09-13,10000,277.61,6,"6 <= Score <= 8"
"135","10FC359299660914790898F","36",2013-10-28,6000,237.58,4,"3 <= Score <= 5"
"136","11023592403082400775759","36",2013-10-25,4000,168.17,2,"1 <= Score <= 2"
"142","348A358496682608062923B","60",2013-08-07,9000,260.59,4,"3 <= Score <= 5"
"146","34A435890358538545FC9C4","36",2013-09-12,22000,777.7,6,"6 <= Score <= 8"
"149","34B535980974400531231A8","36",2013-12-31,10000,313.78,8,"6 <= Score <= 8"
"153","106F35923604803414D8E04","36",2013-10-30,10000,375.98,3,"3 <= Score <= 5"
